TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
019-12-30 19:30:30.083803,100,NP,CenterPoint Energy,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,101,TL,CenturyLink Inc,Telecommunication Services,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,102,ERN,Cerner,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,103,F,CF Industries Holdings Inc,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,104,CHW,Charles Schwab Corporation,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,105,HTR,Charter Communications,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,106,VX,Chevron Corp.,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,107,MG,Chipotle Mexican Grill,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,108,B,Chubb Limited,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,109,HD,Church & Dwight,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,110,I,CIGNA Corp.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,111,EC,Cimarex Energy,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,112,INF,Cincinnati Financial,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,113,TAS,Cintas Corporation,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,114,SCO,Cisco Systems,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,115,,Citigroup Inc.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,116,FG,Citizens Financial Group,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,117,TXS,Citrix Systems,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,118,ME,CME Group Inc.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,119,MS,CMS Energy,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,120,O,Coca-Cola Company (The),Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,121,TSH,Cognizant Technology Solutions,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,122,L,Colgate-Palmolive,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,123,MCSA,Comcast Corp.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,124,MA,Comerica Inc.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,125,AG,Conagra Brands,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,126,XO,Concho Resources,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,127,OP,ConocoPhillips,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,128,D,Consolidated Edison,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,129,TZ,Constellation Brands,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,130,LW,Corning Inc.,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,131,OST,Costco Wholesale Corp.,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,132,OTY,"Coty, Inc",Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,133,CI,Crown Castle International Corp.,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,134,SRA,CSRA Inc.,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,135,SX,CSX Corp.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,136,MI,Cummins Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,137,VS,CVS Health,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,138,HI,D. R. Horton,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,139,HR,Danaher Corp.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,140,RI,Darden Restaurants,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,141,VA,DaVita Inc.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,142,E,Deere & Co.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,143,AL,Delta Air Lines Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,144,RAY,Dentsply Sirona,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,145,VN,Devon Energy Corp.,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,146,LR,Digital Realty Trust Inc,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,147,FS,Discover Financial Services,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,148,ISCA,Discovery Inc. Class A,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,149,ISCK,Discovery Inc. Class C,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,150,ISH,Dish Network,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,151,G,Dollar General,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,152,LTR,Dollar Tree,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,153,,Dominion Energy,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,154,OV,Dover Corp.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,155,WDP,DowDuPont,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,156,PS,Dr Pepper Snapple Group,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,157,TE,DTE Energy Co.,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,158,UK,Duke Energy,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,159,RE,Duke Realty Corp,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,160,XC,DXC Technology,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,161,TFC,E*Trade,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,162,MN,Eastman Chemical,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,163,TN,Eaton Corporation,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,164,BAY,eBay Inc.,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,165,CL,Ecolab Inc.,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,166,IX,Edison Int'l,Utilities,0,,,2019-12-30 19:30:30.107017,
